text,author
"Но каково же было мое изумление, когда Наташа с первых же слов остановила меня и сказала, что нечего ее утешать, что она уже пять дней, как знает про это..     – Боже мой!",Dostoevsky
— закричали в толпе.. — Давай совет кошевой!,Gogol
"И всё, бывало, извиняется.",Chekhov
Живу-ут!.,Chekhov
"Там воду освятим: они скорее выздоровеют; и я теперь здоров: у меня болел глаз, а теперь смотрю в оба»..      — А мне говорили военные люди, — сказал Пьер, — что в городе никак нельзя сражаться и что позиция….",Tolstoy
"Ее-то огромное состояние у него осталось теперь, а его собственное, родовое, перешло меньшому брату, князю Ивану, который теперь обер-гоф-кафермейстер (он назвал что-то в этом роде) и был министром.. .",Tolstoy
— сказал он.,Tolstoy
"Он вступил на площадь не без какой-то невольной боязни, точно как будто сердце его предчувствовало что-то недоброе.",Gogol
"Господи, столько во всем этом жизни, поэзии, смысла, что камень бы тронулся, а я... я глуп и нелеп!».",Chekhov
Уходят..       Входит Чебутыкин..       Маша.,Chekhov
"– прошептал молодой человек, – не ворочайтесь!",Dostoevsky
"В это время доложили ему, что пришел откупщик.. – Пусть войдет, – сказал князь.. Старик взошел….",Gogol
"нет прелестнее,  Татьяна  Павловна,  как  иногда  невзначай,  между  детских.",Dostoevsky
После моего сообщения я вам даже обязан некоторою откровенностию по этому делу.,Dostoevsky
ЧАСТЬ 1-я..      .,Tolstoy
Вы бывали когда-нибудь в Аббации?,Chekhov
"Но Марья Александровна не могла смотреть долго и отошла от окна..    Через неделю она переехала в Москву, с дочерью и Афанасием Матвеичем, а через месяц узнали в Мордасове, что подгородная деревня Марьи Александровны и городской дом продаются.",Dostoevsky
"Соня приподнялась, и котеночек оживился, глазки заблистали, и он готов был, казалось, вот-вот взмахнуть хвостом, вспрыгнуть на мягкие лапки и опять заиграть с клубком, как ему и было прилично..      — Ты думаешь?",Tolstoy
Слыхано ли дело!,Tolstoy
"заманите мне только его к лесу, заманите мне только его!» — кричал Тарас.",Gogol
"– сказала хозяйка.. В ответ на это Чичиков свернул три блина вместе и, обмакнувши их в растопленное масло, отправил в рот, а губы и руки вытер салфеткой.",Gogol
"— Дети приехали домой, больше года их не видали, а он задумал невесть что: на кулаки биться!.",Gogol
Он болен?,Tolstoy
"— вскричал он отчаянно, — Алексей Иванович, Алексей Иванович!...",Dostoevsky
"Ну, освободите же изверга… он гимн запел, это потому, что ему легко!",Dostoevsky
«Язык жестов» в раннем творчестве Л. Н. Толстого.,Tolstoy
– Чем же кончается твоя поэма?,Dostoevsky
"7, строка 13..     Вместо: надевала – надела смысловая конъектура, сделанная по рукописи..     Стр.",Tolstoy
"И я свинья большая,   сказал он сам себе и захохотал.",Tolstoy
"А ведь в самом деле она, может быть, при вас спать захотела.",Dostoevsky
"— Это до такой степени нехорошо, что и выразить тебе не могу!.",Chekhov
Что же тут делать?,Dostoevsky
"Приезд Алеши как бы подействовал на него даже с нравственной стороны, как бы что-то проснулось в этом безвременном старике из того, что давно уже заглохло в душе его: «Знаешь ли ты, – стал он часто говорить Алеше, приглядываясь к нему, – что ты на нее похож, на кликушу-то?» Так называл он свою покойную жену, мать Алеши.",Dostoevsky
"Повторяю тебе, он знал и любил девочку и не хотел и думать о том, что я когда-нибудь тоже стану женщиной... Ему это и в голову не приходило.",Dostoevsky
смотри ты какой!..,Gogol
