text,author
"Он старался не развлекаться и не портить себе впечатления, глядя на махание руками белогалстучного капельмейстера, всегда так неприятно развлекающее музыкальное внимание, на дам в шляпах, старательно для концерта завязавших себе уши лентами, и на все эти лица, или ничем не занятые, или занятые самыми разнообразными интересами, но только не музыкой.",Tolstoy
Всегда этак у меня перед припадком бывает.,Chekhov
"Катерина Николаевна тут же и.   отказала ему, без гнева, но и без колебаний.",Dostoevsky
Анна Андреевна.,Gogol
"— То, что я видел сейчас, хуже всякой простуды… Глаза эти, бледность… а!",Chekhov
– сказал Плюшкин.,Gogol
"Одни говорят: надо их дальше в горы услать, а старик говорит: «надо убить».",Tolstoy
"Только каким образом до того времени уберечь деньги, как сохранить их так, чтобы не узнал ни Джякомо, ни мастер Петручьо, точильщик, которые непременно попросят у него взаймы, потому что Джякомо заложил в Гету жидам все свое платье, а мастер Петручьо тоже заложил свое платье в Гету жидам и разорвал на себе юбку и последний платок жены, нарядясь женщиною… как сделать так, чтобы не дать им взаймы?""",Gogol
"Бедность, говорят, страшная: есть нечего, за квартиру не заплачено.",Chekhov
"По движениям губ и рук их видно было, что они были заняты живым разговором; может быть, они тоже говорили о приезде нового генерал-губернатора и делали предположения насчет балов, какие он даст, и хлопотали о вечных своих фестончиках и нашивочках.",Gogol
"Я пошел с тем, чтобы простить, если б он протянул мне руку, простить и прощения просить!",Dostoevsky
Кровать скрипнула.,Tolstoy
Чебутыкин.,Chekhov
— Вон!,Chekhov
"Она всё молчала – минуты две, три..     – А как к Даше готовился, духами опрыскался… – проговорила она вдруг страшным шепотом.",Dostoevsky
"Глаза Ионы тревожно и мученически бегают по толпам, снующим по обе стороны улицы: не найдется ли из этих тысяч людей хоть один, который выслушал бы его?",Chekhov
— Отчего же?.,Chekhov
– Остались другие….,Dostoevsky
"Где тут было брать, когда жарня этакая!.",Tolstoy
"Это был обыкновенный краковский экипаж, в каком жиды полсотнею отправляются вместе с товарами во все города, где только слышит их нос ярмарку.",Gogol
"(В спину, что ли, надуло мне.)",Dostoevsky
"Пока дядя говорил и целовался, в воображении Саши промелькнула картина: он и жена отдают гостям свои три комнаты, подушки, одеяла; балык, сардины и окрошка съедаются в одну секунду, кузены рвут цветы, проливают чернила, галдят, тетушка целые дни толкует о своей болезни (солитер и боль под ложечкой) и о том, что она урожденная баронесса фон Финтих….",Chekhov
"- Не слыхал, а слыхал - Криновицыну за набег-то Анна вышла.",Tolstoy
(Прим.,Gogol
Мертвый ребенок лежит весь в цветах.,Dostoevsky
— Куда ты?,Chekhov
"Так как он уж говорил с ним об этом, ему не совестно было спросить..      Ну что, Пчельников Сидор все не живет дома?",Tolstoy
"- Какой вы, князь, расслабленный!",Dostoevsky
На поклон Николая Всеволодовича не ответил совсем и отвернулся.,Dostoevsky
Вся педагогика ушла теперь в заботу об облегчении.,Dostoevsky
Гадко было.,Dostoevsky
"Посещения же родных и знакомых были разрешены и доктором, и смотрителем, и даже исправником, всё под рукой.",Dostoevsky
"Но вскоре раздались сомневающиеся, недоуменные голоса.",Tolstoy
Этого мало.,Gogol
"– Я не читал, – мрачно сказал Крицкий, очевидно не хотевший вступать в разговор.. .",Tolstoy
"Да что думать: годится или не годится так – сегодня свадьбу, да и концы в воду!",Gogol
Ариадна жила в Риме.,Chekhov
Самосвистов превзошел самого себя отважностью и дерзостью неслыханною.,Gogol
"Я там был, мед пил, по усам текло, а в рот не попало, дали мне шлык, а я в подворотню шмыг… выпьем, брат Ваня!.",Dostoevsky
Хлестаков.,Gogol
"гадкое письмо, что документ вовсе не сожжен, а существует?.""..",Dostoevsky
"и за предложенную ему честь будет готов потерпеть долг,   а лотерея непременно начнется со второй недели поста.",Gogol
Я отворил окно.. — Кто здесь?,Chekhov
"Одному из нас непременно надо остаться, иначе кредиторы завопиют.",Chekhov
"– сказала вторая Мелюкова..      – Да вот так-то, пошла одна барышня, – сказала старая девушка, – взяла петуха, два прибора – как следует, села.",Tolstoy
"Быль, рассказанная дьячком ***ской церкви        За Фомою Григорьевичем водилась особенного рода странность: он до смерти не любил пересказывать одно и то же.",Gogol
"…Шесть недель болезни мы ходили тогда за ней день и ночь — я, Лукерья и ученая сиделка из больницы, которую я нанял.",Dostoevsky
"– Вы понимаете, не от этого, но так, я увлекся.",Tolstoy
(Прим.,Tolstoy
"Сколько веселых, праздничных лиц, сколько типов!",Chekhov
Куда ты меня везешь?.,Chekhov
"У тоненького в три года не остается ни одной души, не заложенной в ломбард; у толстого спокойно, глядь – и явился где-нибудь в конце города дом, купленный на имя жены, потом в другом конце другой дом, потом близ города деревенька, потом и село со всеми угодьями.",Gogol
"Пока он говорил, все арестанты молча стояли перед нарами, вытянув руки по швам.",Tolstoy
"Осудил он и Абогина, и его жену, и Папчинского, и всех, живущих в розовом полумраке и пахнущих духами, и всю дорогу ненавидел их ж презирал до боли в сердце.",Chekhov
"Светло, снег блещет при месяце.",Gogol
бедственным теперешним положением нет и  не может быть никакой связи.,Tolstoy
Из кухни проберется в столовую… ложки в шкапу!,Chekhov
И ненавидит меня.,Tolstoy
– Гм!,Gogol
"Однако ж она так умела причаровать к себе самых степенных козаков (которым, не мешает, между прочим, заметить, мало было нужды до красоты), что к ней хаживал и голова, и дьяк Осип Никифорович (конечно, если дьячихи не было дома), и козак Корний Чуб, и козак Касьян Свербыгуз.",Gogol
"За огурцами только послали ее, а она уж и улизнула!",Dostoevsky
"Деревья же становились гуще: к осинам и ольхам начала присоединяться береза, и скоро образовалась вокруг лесная гущина.",Gogol
Тут можно пройти-с?.,Chekhov
"– Ты сказал, чтобы все было, как было.",Tolstoy
"Русский ум, таких размеров, до широкости охотник; да еще женский, да еще при.",Dostoevsky
"Нужно было видеть, какое благоговейное молчание воцарилось; но я кивнул только рукою, сказав: «Не нужно никаких знаков подданничества!» — и вышел.",Gogol
"Всё было погружено в тихий, глубокий сон; ни движения, ни звука, даже не верится, что в природе может быть так тихо.",Chekhov
— спросил он.. При всем своем мягкосердечии и простодушии Савка презирал женщин.,Chekhov
"вы не печальтесь, не отчаивайтесь, будьте благоразумнее,   прошу вас, умоляю вас об этом.",Dostoevsky
"Но переносил все герой наш, переносил сильно, терпеливо переносил, и – перешел наконец в службу по таможне.",Gogol
Гостиница была плохенькая.,Dostoevsky
"Чихнул, как видите.",Chekhov
Артемий Филиппович.,Gogol
– Пойдем пройдемся.. .,Tolstoy
"Фома Меньшой снял перегородку, коляска проехала огородом и очутилась на площади возле устаревшей деревянной церкви.",Gogol
Будьте добры.,Chekhov
"Ты бы спрятала их обоих себе под юбку, да и сидела бы на них, как на куриных яйцах.",Gogol
"Иван Петрович, видя, что гость задумчив и скучает, вынул из жилетного кармана записочки, прочел смешное письмо немца-управляющего о том, как в имении испортились все запирательства и обвалилась застенчивость.. «А приданого они дадут, должно быть, немало», – думал Старцев, рассеянно слушая.. После бессонной ночи он находился в состоянии ошеломления, точно его опоили чем-то сладким и усыпляющим; на душе было туманно, но радостно, тепло, и в то же время в голове какой-то холодный, тяжелый кусочек рассуждал:.",Chekhov
"Быть может, доплывут до настоящей правды…».",Chekhov
"Ей, я думаю, все равно..       Чебутыкин, только что вставший с постели, — он отдыхал после обеда, — входит в залу и причесывает бороду, потом садится за стол и вынимает из кармана газету..       Маша.",Chekhov
"Мы знаем только одно, что свадьба назначена действительно и что сам князь уполномочил Лебедева, Келлера и какого-то знакомого Лебедева, которого тот представил князю на этот случай, принять на себя все хлопоты по этому делу, как церковные, так и хозяйственные; что денег велено было не жалеть, что торопила и настаивала на свадьбе Настасья Филипповна; что шафером князя назначен был Келлер, по собственной его пламенной просьбе, а к Настасье Филипповне – Бурдовский, принявший это назначение с восторгом, и что день свадьбы назначен был в начале июля.",Dostoevsky
"Словом, выронил слов не много, но значительных.",Gogol
"На каждом шагу он был останавливаем незнанием самых первоначальных стихий; простой, незначащий механизм охлаждал весь порыв и стоял неперескочимым порогом для воображения.",Gogol
Они у меня пахнут трупом..       Пауза..       Так-с… Помните стихи?,Chekhov
— спросил один из куренных атаманов.. — Э!,Gogol
"[295] – спросила Лидия Ивановна и, получив утвердительный ответ, встала и начала перебирать на полочке книги.. .",Tolstoy
— Нет ли у вас таких знакомых?,Chekhov
Они поощряли их и льстили этому расположению.,Gogol
"Участниками в споре были еще: круглолицый, моложавый, с четвероугольною головой и курчавою бородкой, коренастый Гараська Копылов, один из говорунов следующего за Резуном более молодого поколения, отличавшийся всегда резкою речью и уже заслуживший себе вес на сходке.",Tolstoy
Кричать нечего….,Chekhov
"– пропищала Фелисата Михайловна..    – Ну да, mesdames,[57] уезжаю.",Dostoevsky
"Они простили друг другу то, чего стыдились в своем прошлом, прощали все в настоящем и чувствовали, что эта их любовь изменила их обоих.. Прежде в грустные минуты он успокаивал себя всякими рассуждениями, какие только приходили ему в голову, теперь же ему было не до рассуждений, он чувствовал глубокое сострадание, хотелось быть искренним, нежным….",Chekhov
Загрохотал весь город от  такого.,Dostoevsky
"""Меня-с, а что-с?""",Dostoevsky
"[140] — сказал Наполеон тоном человека, раздраженного беспрестанными помехами..      — Sire, le prince…[141] — начал адъютант..      — Просит подкрепления?",Tolstoy
"После своего свидания в Москве с Пьером князь Андрей уехал в Петербург по делам, как он сказал своим родным, но, в сущности, для того, чтобы встретить там князя Анатоля Курагина, которого он считал необходимым встретить.",Tolstoy
"Что-то вдруг во мне загорелось, какая-то цель «явилась»..     — Ты не смотри на меня, что я здесь, я тебе не пример.",Dostoevsky
"Вот так всегда делают добрые люди; только нет, я думаю, где-нибудь подцепили.",Gogol
"— Не стучите так, а то мужа разбудите.. — Ну, так что же, если и разбужу?.",Chekhov
— Этот насморк надоел мне.,Tolstoy
"Задали вы нам трудную работу, можете похвалиться.",Tolstoy
"Чуть замечал у кого один кусок, подкладывал ему тут же другой, приговаривая: «Без пары ни человек, ни птица не могут жить на свете».",Gogol
"Что, Стецько, много хлебнул меду в подвале?",Gogol
"Если же Самойленко, находящийся под очевидным влиянием фон Корена, совершенно откажет в деньгах или предложит какие-нибудь новые условия, то он, Лаевский, сегодня же уедет на грузовом пароходе, или даже на паруснике, в Новый Афон или Новороссийск, пошлет оттуда матери унизительную телеграмму и будет жить там до тех пор, пока мать не вышлет ему на дорогу.. Придя к Самойленку, он застал в гостиной фон Корена.",Chekhov
"— Вот так, так!",Tolstoy
"Белецкий, стараясь поддерживать приличие вечеринки, не переставая болтал, заставлял девок подносить чихирь, возился с ними и беспрестанно делал Оленину неприличные замечания по-французски о красоте Марьянки, называя ее ""ваша"", la vôtre, и приглашая его делать то же, что он сам.",Tolstoy
"- вздыхая, сказал священник, и снова брови и бородка его поднялись кверху и опустились.. .",Tolstoy
"все это фантазия, наконец, поэзия, а стало быть, вздор;  тем  не  менее  мне.",Dostoevsky
Лопахин.,Chekhov
"Piu gli pesi, men ti danno[*]..   .",Gogol
Павел Иваныч!,Chekhov
"Увы, он со всеми основными идеями начинавшегося столетия решил справиться полицейским порядком и вполне был уверен в успехе!",Dostoevsky
"Наконец, когда Пересолин стал сердиться, фыркать и краснеть от нетерпения, он послушался.",Chekhov
"Днем он прогуливается по палате от окна к окну или сидит на своей постели, поджав по-турецки ноги, и неугомонно, как снегирь, насвистывает, тихо поет и хихикает.",Chekhov
Визави не могли ни на минуту обратить на себя внимание и даже не старались о том.,Tolstoy
Господа ехали вместе.,Tolstoy
И  Анна  Андреевна  это  полагает.,Dostoevsky
"Коляска остановилась, и мы уселись.. — Я тебе всё это припомню!",Chekhov
"Когда я стала его усовещивать, то он, по обыкновению, заткнул уши и громко запел, чтобы заглушить мой голос.. Евгений Петрович Быковский, прокурор окружного суда, только что вернувшийся из заседания и снимавший у себя в кабинете перчатки, поглядел на докладывавшую ему гувернантку и засмеялся.. — Сережа курит… — пожал он плечами.",Chekhov
"Дутлов подошел, отпустил ему кушак и лег.",Tolstoy
"Когда бричка была уже на конце деревни, он подозвал к себе первого мужика, который, попавши где-то на дороге претолстое бревно, тащил его на плече, подобно неутомимому муравью, к себе в избу.. – Эй, борода!",Gogol
Приехала начальница.,Chekhov
"Платон Ковалев..       Милостивый государь,.",Gogol
"Конечно, почтмейстер и председатель и даже сам полицеймейстер, как водится, подшучивали над нашим героем, что уж не влюблен ли он и что мы знаем, дескать, что у Павла Ивановича сердечишко прихрамывает, знаем, кем и подстрелено; но все это никак его не утешало, как он ни пробовал усмехаться и отшучиваться.",Gogol
Каково?,Chekhov
Всяк изощряется над ним и всяк вмале не пинком сопровождает его.,Dostoevsky
"— слышит вдруг Очумелов.— Ребята, не пущай ее!",Chekhov
"— Душа моя, извини, — зашептал Самойленко, оглядываясь на дверь и конфузясь.",Chekhov
Али назад отобрать хочет?,Tolstoy
Входит Кулыгин в форменном фраке..       Кулыгин (подходит к Ирине).,Chekhov
"Что, взяли, чертовы ляхи?",Gogol
В этом вам никто не помешает.,Tolstoy
"продолжать, а между тем все кругом меня завертелось и заплясало..        - Переходите сюда!",Dostoevsky
ДОСТОЕВСКИЙ.,Dostoevsky
— Не могу знать.. — Садитесь!.,Chekhov
"Ой та, мiсяцю, мiй мiсяченьку!",Gogol
Что это такое?,Dostoevsky
"Митя проговорил свой внезапный монолог, как бы совсем уже решившись впредь окончательно замолчать.",Dostoevsky
"Полк рявкнул: «Здравья желаем, ваше го-го-го-ство!» И опять все замерло.",Tolstoy
Городничий.,Gogol
— Не имеете ли что спросить?.,Chekhov
"что он так упорно зовет меня к себе, единственно чтоб склонить меня войти  с.   ним в компанию и действовать не иначе как  вместе.",Dostoevsky
"Вдруг чьи-то босые шаги раздались по коридору, и Лиза в одном накинутом платке, вся бледная и дрожащая, вбежала в комнату и почти упала к матери на постель….",Tolstoy
"От меня поступит она в комитет сельских дел, там сделают всякие справки и выправки по этому делу.",Gogol
"Офицер этот, однако, здесь, с собой привезли, и в доме у них как родственник поселился.",Dostoevsky
Ворон не найдет места вашего!,Gogol
"За ним прошел Лебедев, не отстававший от него как тень и уже сильно пьяный, затем студент, господин с кулаками, Залёжев, раскланивавшийся направо и налево, и, наконец, протискивался коротенький толстяк.",Dostoevsky
Я должен заплатить до десяти тысяч; так присудили.,Dostoevsky
Ольга лежала на своей кровати.,Chekhov
Разве я мог предположить вас в таком деле участником?..,Dostoevsky
"– Ведь он в Польше не был, как же он говорит про Польшу?",Dostoevsky
Hoch Russen!,Tolstoy
"Чтобы мне отдохнули руки и ноги, если что-нибудь когда-либо крал, выключая разве вареники с сметаною у матери, да и то еще когда мне было лет десять от роду.",Gogol
Он разгулялся и ему уже не хотелось спать.. — Экая трусиха!,Chekhov
